# Region type : patch auto2
# Faces       : 260
# Area        : 4.886915e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.20005e-06   	0.000000e+00
2.64017e-06   	0.000000e+00
4.36833e-06   	0.000000e+00
6.44211e-06   	0.000000e+00
8.93055e-06   	0.000000e+00
1.19165e-05   	0.000000e+00
1.5499e-05    	0.000000e+00
1.97972e-05   	0.000000e+00
2.49549e-05   	-4.953888e-318
3.11429e-05   	-9.492136e-306
3.85657e-05   	-3.828948e-294
4.74757e-05   	-3.587857e-283
5.81659e-05   	-7.962636e-273
