# Region type : patch auto2
# Faces       : 260
# Area        : 4.886915e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.20005e-06   	0.000000e+00
2.64017e-06   	0.000000e+00
4.36833e-06   	0.000000e+00
6.44211e-06   	0.000000e+00
8.93055e-06   	0.000000e+00
1.19165e-05   	0.000000e+00
1.5499e-05    	0.000000e+00
1.97972e-05   	0.000000e+00
2.49549e-05   	-4.953888e-318
3.11429e-05   	-9.492136e-306
3.85657e-05   	-3.828948e-294
4.74757e-05   	-3.587857e-283
5.81659e-05   	-7.962636e-273
7.09941e-05   	-4.149320e-263
8.63879e-05   	-4.869559e-254
0.000104849   	-1.140117e-245
0.000126986   	-4.206955e-238
0.000153526   	-1.508840e-231
0.000185392   	-6.524521e-227
0.000223581   	-1.915438e-222
0.00026948    	-1.113758e-218
0.000324454   	-3.264704e-215
0.000390274   	-4.788988e-212
0.000469043   	3.886972e-209
0.000563408   	4.932319e-205
0.000677102   	1.887820e-201
0.000814204   	5.331250e-198
0.000978236   	1.096205e-194
0.00117436    	1.271392e-191
0.00140661    	-1.356205e-188
0.00168382    	-1.359457e-184
0.00201647    	-5.526883e-181
0.00241564    	-1.956065e-177
0.00288967    	-8.015525e-174
0.00348219    	-6.476425e-170
0.0042064     	-1.126076e-165
0.00503405    	-3.707420e-161
0.00602724    	-3.023994e-156
0.00735149    	1.396420e-150
0.00867575    	1.014830e-144
0.01          	6.413260e-140
0.0116667     	1.047745e-134
0.01375       	2.206957e-128
0.0158333     	-2.833805e-122
0.0179167     	-1.769961e-117
0.02          	-1.589321e-113
0.0225        	5.158904e-110
0.025         	6.794056e-105
0.0275        	2.222068e-101
0.03          	6.484794e-99
0.0333333     	5.391493e-95
0.0366667     	2.813672e-91
0.04          	2.025431e-88
0.0433333     	3.318394e-86
0.0466667     	2.615377e-84
0.05          	1.055138e-82
0.055         	1.342452e-80
0.06          	5.123972e-78
0.065         	1.062102e-76
0.07          	3.616976e-75
0.075         	3.426564e-74
0.08          	-2.065418e-73
0.085         	2.232852e-74
0.09          	1.481059e-73
0.095         	-3.301693e-73
0.1           	-8.705027e-73
0.105         	-9.530290e-73
0.11          	0.000000e+00
0.115         	0.000000e+00
0.12          	0.000000e+00
0.125         	0.000000e+00
0.13          	0.000000e+00
0.135         	0.000000e+00
0.14          	0.000000e+00
0.145         	0.000000e+00
0.15          	0.000000e+00
0.155         	0.000000e+00
0.16          	0.000000e+00
0.165         	0.000000e+00
0.17          	0.000000e+00
0.175         	0.000000e+00
0.18          	0.000000e+00
0.185         	0.000000e+00
0.19          	0.000000e+00
0.195         	2.887100e-73
0.2           	-9.176353e-73
0.205         	-4.689054e-72
0.21          	-1.277303e-71
0.215         	-2.394789e-71
0.22          	-2.568380e-71
0.225         	1.571387e-71
0.23          	1.487294e-70
0.235         	3.707981e-70
0.24          	3.495300e-70
0.245         	2.355617e-70
0.25          	2.315093e-68
0.255         	2.062501e-67
0.26          	1.131272e-66
0.265         	7.664227e-66
0.27          	4.697193e-65
0.275         	2.010172e-64
0.28          	6.002048e-64
0.285         	1.283365e-63
0.29          	2.034603e-63
0.295         	2.527624e-63
0.3           	2.677995e-63
0.305         	2.689587e-63
0.31          	0.000000e+00
0.315         	0.000000e+00
0.32          	0.000000e+00
0.325         	0.000000e+00
0.33          	0.000000e+00
0.335         	0.000000e+00
0.34          	0.000000e+00
0.345         	0.000000e+00
0.35          	0.000000e+00
0.355         	0.000000e+00
0.36          	0.000000e+00
0.365         	0.000000e+00
0.37          	0.000000e+00
0.375         	0.000000e+00
0.38          	0.000000e+00
0.385         	0.000000e+00
0.39          	0.000000e+00
0.395         	6.704503e-65
0.4           	-7.536211e-64
0.405         	-3.253623e-63
0.41          	-8.676372e-63
0.415         	-1.774352e-62
0.42          	-2.871413e-62
0.425         	-3.312426e-62
0.43          	-4.531790e-63
0.435         	1.339902e-61
0.44          	5.971372e-61
0.445         	1.945898e-60
0.45          	5.532297e-60
0.455         	1.438505e-59
0.46          	3.485761e-59
0.465         	7.760058e-59
0.47          	1.473557e-58
0.475         	2.053685e-58
0.48          	1.277658e-58
0.485         	-2.398586e-58
0.49          	-9.281579e-58
0.495         	-1.730405e-57
0.5           	-2.297118e-57
